run,fit1,node1,fit2,node2
8,513947,4.4976_0.5066_-1.4889_-2.4866_-2.4866,490097,-0.4912_-2.4866_-0.4912_0.5066_-1.4889
8,490097,-0.4912_-2.4866_-0.4912_0.5066_-1.4889,459615,-0.4912_-1.4889_-1.4889_1.5044_-1.4889
8,459615,-0.4912_-1.4889_-1.4889_1.5044_-1.4889,321069,2.5021_-2.4866_-0.4912_2.5021_0.5066
8,321069,2.5021_-2.4866_-0.4912_2.5021_0.5066,299456,2.5021_-1.4889_-0.4912_3.4999_-0.4912
8,299456,2.5021_-1.4889_-0.4912_3.4999_-0.4912,159193,0.5101_1.5050_1.5050_1.5050_-0.4849
8,159193,0.5101_1.5050_1.5050_1.5050_-0.4849,119395,1.5050_2.5000_1.5050_1.5050_-0.4849
8,119395,1.5050_2.5000_1.5050_1.5050_-0.4849,89546,2.5000_0.5101_2.5000_0.5101_1.5050
8,89546,2.5000_0.5101_2.5000_0.5101_1.5050,49748,2.5000_1.5050_2.5000_0.5101_2.5000
8,49748,2.5000_1.5050_2.5000_0.5101_2.5000,29849,1.5050_1.5050_2.5000_1.5050_2.5000
8,29849,1.5050_1.5050_2.5000_1.5050_2.5000,9950,2.5000_1.5050_2.5000_2.5000_2.5000
8,9950,2.5000_1.5050_2.5000_2.5000_2.5000,9950,2.5000_2.5000_2.5000_1.5050_2.5000
8,9950,2.5000_2.5000_2.5000_1.5050_2.5000,9950,2.5000_3.4950_2.5000_2.5000_2.5000
8,9950,2.5000_3.4950_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
8,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
9,544429,0.5066_2.5021_1.5044_-2.4866_-4.4821,228840,3.4950_2.5000_0.5101_-0.4849_-0.4849
9,228840,3.4950_2.5000_0.5101_-0.4849_-0.4849,109445,4.4899_1.5050_1.5050_0.5101_1.5050
9,109445,4.4899_1.5050_1.5050_0.5101_1.5050,109445,4.4899_1.5050_0.5101_1.5050_1.5050
9,109445,4.4899_1.5050_0.5101_1.5050_1.5050,89546,4.4899_1.5050_0.5101_2.5000_2.5000
9,89546,4.4899_1.5050_0.5101_2.5000_2.5000,39798,2.5000_1.5050_1.5050_1.5050_3.4950
9,39798,2.5000_1.5050_1.5050_1.5050_3.4950,39798,2.5000_2.5000_2.5000_0.5101_2.5000
9,39798,2.5000_2.5000_2.5000_0.5101_2.5000,29849,2.5000_3.4950_3.4950_1.5050_2.5000
9,29849,2.5000_3.4950_3.4950_1.5050_2.5000,29849,2.5000_3.4950_2.5000_1.5050_1.5050
9,29849,2.5000_3.4950_2.5000_1.5050_1.5050,19899,2.5000_1.5050_3.4950_2.5000_2.5000
9,19899,2.5000_1.5050_3.4950_2.5000_2.5000,19899,1.5050_1.5050_2.5000_2.5000_2.5000
9,19899,1.5050_1.5050_2.5000_2.5000_2.5000,9950,2.5000_2.5000_3.4950_2.5000_2.5000
9,9950,2.5000_2.5000_3.4950_2.5000_2.5000,9950,2.5000_1.5050_2.5000_2.5000_2.5000
9,9950,2.5000_1.5050_2.5000_2.5000_2.5000,9950,2.5000_2.5000_2.5000_1.5050_2.5000
9,9950,2.5000_2.5000_2.5000_1.5050_2.5000,9950,2.5000_2.5000_2.5000_1.5050_2.5000
9,9950,2.5000_2.5000_2.5000_1.5050_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
9,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
9,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
10,312021,1.5044_1.5044_4.4976_0.5066_5.1200,179092,-0.4849_0.5101_2.5000_1.5050_4.4899
10,179092,-0.4849_0.5101_2.5000_1.5050_4.4899,99496,0.5101_1.5050_2.5000_0.5101_3.4950
10,99496,0.5101_1.5050_2.5000_0.5101_3.4950,69647,0.5101_2.5000_1.5050_1.5050_3.4950
10,69647,0.5101_2.5000_1.5050_1.5050_3.4950,19899,2.5000_1.5050_2.5000_2.5000_1.5050
10,19899,2.5000_1.5050_2.5000_2.5000_1.5050,19899,2.5000_1.5050_2.5000_3.4950_2.5000
10,19899,2.5000_1.5050_2.5000_3.4950_2.5000,19899,2.5000_1.5050_1.5050_2.5000_2.5000
10,19899,2.5000_1.5050_1.5050_2.5000_2.5000,19899,2.5000_2.5000_1.5050_2.5000_3.4950
10,19899,2.5000_2.5000_1.5050_2.5000_3.4950,0,2.5000_2.5000_2.5000_2.5000_2.5000
10,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
10,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
11,347675,-1.4889_1.5043_-2.4866_3.4999_1.5044,338287,2.5021_3.4999_-4.4821_4.4976_3.4999
11,338287,2.5021_3.4999_-4.4821_4.4976_3.4999,235736,2.5021_1.5044_-2.4866_2.5021_4.4976
11,235736,2.5021_1.5044_-2.4866_2.5021_4.4976,213004,3.4999_0.5066_-1.4889_1.5044_3.4999
11,213004,3.4999_0.5066_-1.4889_1.5044_3.4999,183641,3.4999_1.5044_-1.4889_2.5021_4.4976
11,183641,3.4999_1.5044_-1.4889_2.5021_4.4976,139294,4.4899_0.5101_0.5101_3.4950_1.5050
11,139294,4.4899_0.5101_0.5101_3.4950_1.5050,139294,4.4899_-0.4849_1.5050_2.5000_2.5000
11,139294,4.4899_-0.4849_1.5050_2.5000_2.5000,131546,4.4976_-0.4912_2.5021_3.4999_2.5021
11,131546,4.4976_-0.4912_2.5021_3.4999_2.5021,29849,2.5000_1.5050_1.5050_3.4950_2.5000
11,29849,2.5000_1.5050_1.5050_3.4950_2.5000,19899,3.4950_2.5000_1.5050_2.5000_2.5000
11,19899,3.4950_2.5000_1.5050_2.5000_2.5000,9950,3.4950_2.5000_2.5000_2.5000_2.5000
11,9950,3.4950_2.5000_2.5000_2.5000_2.5000,9950,2.5000_2.5000_2.5000_2.5000_3.4950
11,9950,2.5000_2.5000_2.5000_2.5000_3.4950,0,2.5000_2.5000_2.5000_2.5000_2.5000
11,0,2.5000_2.5000_2.5000_2.5000_2.5000,0,2.5000_2.5000_2.5000_2.5000_2.5000
